iris_code,iris_name,iris_commune,arrondissement,iris_surface_m2,shops_count,food_stores_count,restaurants_count,loisir_count,pharmacies_count,colleges_count,schools_count,lycees_count,hospitals_count,green_spaces_count,sports_count,health_services,education_sites,sports_sites,local_life_sites,health_density,education_density,sport_density,vibrance_density,green_space_density,avg_noise_db
751103703,Saint-Vincent de Paul 3,Paris 10e Arrondissement,10,70127.76499999558,149,20,42,35,2,0,0,0,0,0,1,2,0,1,97,28.5193746014881,0.0,14.25968730074405,1383.1896681721728,0.0,41.07
751103704,Saint-Vincent de Paul 4,Paris 10e Arrondissement,10,107657.5950001589,226,41,55,39,2,1,1,1,0,1,4,2,3,4,135,18.577416669925128,27.866125004887692,37.154833339850256,1253.975625219946,9.288708334962564,41.07
751103705,Saint-Vincent de Paul 5,Paris 10e Arrondissement,10,70225.95000050144,120,8,28,21,2,1,1,2,1,0,0,3,4,0,57,42.719251216659636,56.959001622212845,0.0,811.665773116533,0.0,41.07
751103706,Saint-Vincent de Paul 6,Paris 10e Arrondissement,10,68255.39999979183,126,9,17,6,2,0,0,0,1,0,3,3,0,3,32,43.952566390485586,0.0,43.952566390485586,468.8273748318462,0.0,41.07
751103707,Saint-Vincent de Paul 7,Paris 10e Arrondissement,10,81611.99499995251,75,10,22,9,2,0,0,0,2,0,0,4,0,0,41,49.01240314003263,0.0,0.0,502.37713218533446,0.0,41.07
751103708,Saint-Vincent de Paul 8,Paris 10e Arrondissement,10,32519.934999999143,122,19,22,17,1,0,0,0,0,0,0,1,0,0,58,30.750368965990443,0.0,0.0,1783.5214000274457,0.0,41.07
751103709,Saint-Vincent de Paul 9,Paris 10e Arrondissement,10,67520.81999978324,40,10,8,1,0,0,2,1,0,0,10,0,3,10,19,0.0,44.43074002966242,148.1024667655414,281.39468685452863,0.0,41.07
751114101,Folie Méricourt 1,Paris 11e Arrondissement,11,49398.19000024286,45,6,14,8,1,0,0,0,1,0,0,2,0,0,28,40.48731340136486,0.0,0.0,566.822387619108,0.0,41.28
751114110,Folie Méricourt 10,Paris 11e Arrondissement,11,28186.750000193693,35,10,11,4,2,0,0,0,0,0,1,2,0,1,25,70.95532475316439,0.0,35.477662376582195,886.941559414555,0.0,41.28
751114111,Folie Méricourt 11,Paris 11e Arrondissement,11,31749.785000048945,50,11,16,8,0,1,3,1,0,0,0,0,5,0,35,0.0,157.4813813697413,0.0,1102.3696695881893,0.0,41.28
751114112,Folie Méricourt 12,Paris 11e Arrondissement,11,31400.345000115693,31,4,9,0,3,0,0,0,0,0,1,3,0,1,13,95.54035154674085,0.0,31.846783848913617,414.008190035877,0.0,41.28
751114113,Folie Méricourt 13,Paris 11e Arrondissement,11,36870.19499991158,48,10,10,5,0,0,2,0,0,2,0,0,2,0,25,0.0,54.24435645118764,0.0,678.0544556398455,54.24435645118764,41.28
751114114,Folie Méricourt 14,Paris 11e Arrondissement,11,35657.9500002493,58,8,14,4,0,0,0,0,0,0,0,0,0,0,26,0.0,0.0,0.0,729.1501614595966,0.0,41.28
751114115,Folie Méricourt 15,Paris 11e Arrondissement,11,42333.10500027346,93,10,22,8,2,0,0,0,0,0,0,2,0,0,40,47.24434930976786,0.0,0.0,944.8869861953572,0.0,41.28
751114102,Folie Méricourt 2,Paris 11e Arrondissement,11,46081.23500001534,71,14,37,7,2,0,1,0,0,0,0,2,1,0,58,43.401614561748055,21.700807280874027,0.0,1258.6468222906935,0.0,41.28
751114103,Folie Méricourt 3,Paris 11e Arrondissement,11,40034.64000016959,68,7,34,3,0,0,0,1,1,0,2,1,1,2,44,24.978368732571692,24.978368732571692,49.956737465143384,1099.0482242331543,0.0,41.28
751114104,Folie Méricourt 4,Paris 11e Arrondissement,11,47565.06500001623,90,12,18,10,2,0,0,0,0,1,1,2,0,1,40,42.04766670663265,0.0,21.023833353316324,840.9533341326529,21.023833353316324,41.28
751114105,Folie Méricourt 5,Paris 11e Arrondissement,11,48709.7250000427,115,15,26,26,1,0,0,0,0,0,0,1,0,0,67,20.529781270559898,0.0,0.0,1375.4953451275132,0.0,41.28
751114106,Folie Méricourt 6,Paris 11e Arrondissement,11,71331.06500016995,161,17,46,24,0,1,0,0,0,1,8,0,1,8,87,0.0,14.019137384218466,112.15309907374773,1219.6649524270065,14.019137384218466,41.28
751114107,Folie Méricourt 7,Paris 11e Arrondissement,11,96778.76500054578,98,8,27,14,0,0,0,0,0,2,14,0,0,14,49,0.0,0.0,144.65983317643128,506.3094161175095,20.6656904537759,41.28
751114108,Folie Méricourt 8,Paris 11e Arrondissement,11,58223.24000019395,65,8,20,7,2,0,2,0,1,0,2,3,2,2,35,51.5258168386027,34.35054455906847,34.35054455906847,601.1345297836982,0.0,41.28
751114109,Folie Méricourt 9,Paris 11e Arrondissement,11,58776.69499993655,96,11,43,10,2,1,4,1,0,0,0,2,6,0,64,34.02709186016939,102.08127558050816,0.0,1088.8669395254205,0.0,41.28
751114301,Roquette 1,Paris 11e Arrondissement,11,43042.02000026606,30,5,5,5,2,0,0,0,0,1,11,2,0,11,15,46.46622068359332,0.0,255.56421375976325,348.49665512694986,23.23311034179666,41.28
751114310,Roquette 10,Paris 11e Arrondissement,11,45694.350000125385,94,5,25,12,0,0,0,2,0,0,10,0,2,10,42,0.0,43.76908742534935,218.84543712674673,919.1508359323362,0.0,41.28
751114311,Roquette 11,Paris 11e Arrondissement,11,61376.37500002204,149,11,71,12,0,0,0,0,1,0,7,1,0,7,94,16.29291400803063,0.0,114.0503980562144,1531.533916754879,0.0,41.28
751114312,Roquette 12,Paris 11e Arrondissement,11,75326.07000020662,136,15,53,17,2,0,0,0,0,1,3,2,0,3,85,26.55123252805455,0.0,39.826848792081826,1128.4273824423183,13.275616264027274,41.28
751114313,Roquette 13,Paris 11e Arrondissement,11,51057.34000004845,74,13,23,9,1,0,2,0,0,0,1,1,2,1,45,19.58582252814289,39.17164505628578,19.58582252814289,881.3620137664301,0.0,41.28
751114314,Roquette 14,Paris 11e Arrondissement,11,56296.19000018779,74,7,24,4,0,0,1,1,3,0,2,3,2,2,35,53.28957430316319,35.526382868775464,35.526382868775464,621.7117002035706,0.0,41.28
751114315,Roquette 15,Paris 11e Arrondissement,11,63783.12499979164,62,16,16,3,1,0,0,0,0,1,2,1,0,2,35,15.678128031564254,0.0,31.35625606312851,548.7344811047489,15.678128031564254,41.28
751114316,Roquette 16,Paris 11e Arrondissement,11,44569.130000065226,105,18,30,9,2,0,0,0,0,0,0,2,0,0,57,44.87410905254541,0.0,0.0,1278.9121079975441,0.0,41.28
751114317,Roquette 17,Paris 11e Arrondissement,11,58823.62999979743,66,10,14,3,5,0,2,0,0,1,2,5,2,2,27,84.99985465054127,33.9999418602165,33.9999418602165,458.9992151129228,16.99997093010825,41.28
751114318,Roquette 18,Paris 11e Arrondissement,11,41662.05000007084,79,12,13,7,1,0,0,0,0,1,0,1,0,0,32,24.0026594946312,0.0,0.0,768.0851038281984,24.0026594946312,41.28
751114319,Roquette 19,Paris 11e Arrondissement,11,58865.74999992281,16,3,3,0,1,0,2,0,2,4,3,3,2,3,6,50.9634210046408,33.97561400309387,50.9634210046408,101.9268420092816,67.95122800618773,41.28
751114302,Roquette 2,Paris 11e Arrondissement,11,90752.70000008833,44,6,16,3,1,0,1,0,0,2,2,1,1,2,25,11.018955909840994,11.018955909840994,22.037911819681987,275.4738977460249,22.037911819681987,41.28
751114320,Roquette 20,Paris 11e Arrondissement,11,49550.745000402356,56,5,17,5,2,1,3,1,1,0,0,3,5,0,27,60.543993838551565,100.90665639758593,0.0,544.8959445469641,0.0,41.28
751114321,Roquette 21,Paris 11e Arrondissement,11,50468.670000235885,34,3,10,3,0,0,0,0,1,0,1,1,0,1,16,19.814272894358542,0.0,19.814272894358542,317.02836630973667,0.0,41.28
751114303,Roquette 3,Paris 11e Arrondissement,11,37756.52000008624,27,4,6,1,0,0,0,0,0,0,1,0,0,1,11,0.0,0.0,26.485491777253728,291.340409549791,0.0,41.28
751114304,Roquette 4,Paris 11e Arrondissement,11,38871.49000022531,27,1,6,2,3,0,0,0,0,0,0,3,0,0,9,77.17738630504287,0.0,0.0,231.5321589151286,0.0,41.28
751114305,Roquette 5,Paris 11e Arrondissement,11,88339.73500055415,108,24,27,8,3,1,1,0,0,2,6,3,2,6,59,33.95980302613746,22.63986868409164,67.91960605227491,667.8761261807033,22.63986868409164,41.28
751114306,Roquette 6,Paris 11e Arrondissement,11,67828.76499997062,146,14,41,23,11,0,0,0,1,2,7,12,0,7,78,176.9160915727302,0.0,103.20105341742595,1149.9545952227463,29.4860152621217,41.28
751114307,Roquette 7,Paris 11e Arrondissement,11,56906.25999984608,70,22,20,4,3,0,3,0,0,0,8,3,3,8,46,52.71827739176875,52.71827739176875,140.58207304471665,808.3469200071208,0.0,41.28
751114308,Roquette 8,Paris 11e Arrondissement,11,39876.32000025642,47,5,12,7,1,0,0,0,0,0,0,1,0,0,24,25.07753975275476,0.0,0.0,601.8609540661142,0.0,41.28
751114309,Roquette 9,Paris 11e Arrondissement,11,46239.78500014809,37,4,8,4,0,0,3,0,0,1,1,0,3,1,16,0.0,64.87919439916064,21.626398133053545,346.0223701288567,21.626398133053545,41.28
