code_iris,nom_com,nom_iris,surface_m2,nb_arbres_alignement,nb_initiatives,ratio_parcs_pct,ratio_canopee_pct,score_parcs,score_rues,score_initiatives,IMVU_Global
751197523,Paris 19e Arrondissement,Amérique 23,54097.31000022304,3,0,0.948827263571476,0.11415007126860986,4.3,28.8,0.0,10.8
751051803,Paris 5e Arrondissement,Jardin des Plantes 3,57904.11000024787,11,1,2.719916815021745,0.10169801235827508,12.3,25.7,50.0,23.9
751135116,Paris 13e Arrondissement,Maison Blanche 16,64015.9350002576,20,0,0.06448721659033602,0.1591153258612924,0.3,40.2,0.0,12.2
751145619,Paris 14e Arrondissement,Plaisance 19,53139.65499979107,4,1,6.341265021935485,0.04612348581534497,28.7,11.7,50.0,27.9
751176702,Paris 17e Arrondissement,Batignolles 2,83616.62999996946,14,0,0.4609850740929532,0.08836291390959967,2.1,22.3,0.0,7.7
751187025,Paris 18e Arrondissement,Clignancourt 25,57150.02500016462,11,1,4.752910676372597,0.11910298562659549,21.5,30.1,50.0,29.8
751187207,Paris 18e Arrondissement,Chapelle 7,230551.4700000489,0,0,0.06017544529997876,0.0,0.3,0.0,0.0,0.2
751083003,Paris 8e Arrondissement,Faubourg du Roule 3,97650.34999973536,6,0,0.8475555928337853,0.03860777039683968,3.8,9.8,0.0,4.8
751010104,Paris 1er Arrondissement,Saint-Germain l'Auxerrois 4,224438.49500057046,0,0,0.0,0.0,0.0,0.0,0.0,0.0
751020704,Paris 2e Arrondissement,Mail 4,48216.71499988753,1,0,0.0,0.01056264031872045,0.0,2.7,0.0,0.8
751083106,Paris 8e Arrondissement,Madeleine 6,126379.03000031188,7,0,0.0,0.029055634047888704,0.0,7.3,0.0,2.2
751103711,Paris 10e Arrondissement,Saint-Vincent de Paul 11,64191.07000009198,3,0,0.11266722956859485,0.023802180796799396,0.5,6.0,0.0,2.0
751051704,Paris 5e Arrondissement,Saint-Victor 4,86828.74500019567,3,0,0.6936297771426204,0.017596562678393567,3.1,4.4,0.0,2.9
751093610,Paris 9e Arrondissement,Rochechouart 10,48365.95999996437,4,0,0.2023700634533133,0.042120186833420885,0.9,10.6,0.0,3.6
751124605,Paris 12e Arrondissement,Picpus 5,50829.67499982269,10,0,9.657026046814876e-05,0.08877414515353792,0.0,22.4,0.0,6.7
751135020,Paris 13e Arrondissement,Gare 20,95796.02499996212,15,1,5.8869927213591255,0.09768996838654995,26.6,24.7,50.0,30.7
751176609,Paris 17e Arrondissement,Plaine Monceau 9,105887.67500011627,7,0,0.054178882760805215,0.03366842009945483,0.2,8.5,0.0,2.6
751103806,Paris 10e Arrondissement,Porte Saint-Denis 6,133966.48500030328,7,1,4.320382672883765,0.02524306158222287,19.5,6.4,50.0,21.7
751114411,Paris 11e Arrondissement,Sainte-Marguerite 11,116836.21999989542,19,0,7.0142698821455784,0.0942646215528799,31.7,23.8,0.0,23.0
751135019,Paris 13e Arrondissement,Gare 19,63905.095000393405,15,0,0.0,0.11605679246759065,0.0,29.3,0.0,8.8
751155902,Paris 15e Arrondissement,Grenelle 2,40848.10000013579,23,0,0.09375909168969208,0.28676496119830686,0.4,72.4,0.0,21.9
751155905,Paris 15e Arrondissement,Grenelle 5,61751.204999864814,5,0,0.0012625840245108824,0.04123772304485233,0.0,10.4,0.0,3.1
751093403,Paris 9e Arrondissement,Chaussée d'Antin 3,121364.07500052411,3,0,0.23697415110893247,0.013942637925973759,1.1,3.5,0.0,1.6
751103710,Paris 10e Arrondissement,Saint-Vincent de Paul 10,116054.13000058303,2,1,1.6228109871301681,0.01707100584527203,7.3,4.3,50.0,14.9
751114311,Paris 11e Arrondissement,Roquette 11,61376.37500002204,0,0,0.030673818597902622,0.0,0.1,0.0,0.0,0.0
751176805,Paris 17e Arrondissement,Épinettes 5,29636.240000299615,0,0,0.0,0.0,0.0,0.0,0.0,0.0
751197519,Paris 19e Arrondissement,Amérique 19,300606.970001222,25,1,8.008112328152759,0.04256740096391102,36.2,10.8,50.0,31.3
751207711,Paris 20e Arrondissement,Belleville 11,72290.12000060055,5,1,0.5693604484078366,0.04315163516916605,2.6,10.9,50.0,14.6
751155732,Paris 15e Arrondissement,Saint-Lambert 32,310277.21000052744,25,0,1.9199151778645955,0.05344880170266874,8.7,13.5,0.0,8.4
751041399,Paris 4e Arrondissement,Seine et Berges 1,29967.624999827804,1,0,2.962388417652992,0.01699486755780585,13.4,4.3,0.0,8.0
751051799,Paris 5e Arrondissement,Seine et Berges 1,95836.12500031354,28,0,14.687227059861574,0.18829667901819303,66.4,47.6,0.0,47.5
751124601,Paris 12e Arrondissement,Picpus 1,74536.4099999371,10,0,5.278397285303383,0.0683284609353328,23.9,17.3,0.0,17.1
751135016,Paris 13e Arrondissement,Gare 16,170907.3600005353,6,0,12.21999640488717,0.019555938403819088,55.2,4.9,0.0,29.1
751166207,Paris 16e Arrondissement,Muette 7,164120.11000032973,12,0,1.0028101961873126,0.03723827515541211,4.5,9.4,0.0,5.1
751051705,Paris 5e Arrondissement,Saint-Victor 5,67602.10000023051,3,0,0.46158000035904634,0.026838905170718373,2.1,6.8,0.0,3.1
751072502,Paris 7e Arrondissement,Saint-Thomas d'Aquin 2,74042.77500015737,1,1,4.411905027011888,0.006878399923462925,19.9,1.7,50.0,20.5
751072807,Paris 7e Arrondissement,Gros Caillou 7,107877.25000048961,21,0,3.8933124375539987,0.10710922709300766,17.6,27.1,0.0,16.9
