iris_code,iris_name,iris_commune,arrondissement,iris_surface_m2,score_health,score_edu,score_sport,score_vibrance,score_noise,score_env,score_senior,score_actifs,score_jeune_adult,score_junior
751155715,Saint-Lambert 15,Paris 15e Arrondissement,15,77508.46999986425,0.0,0.16385195063248756,0.0,0.1195871897923692,1.0,0.0,-20.46,-5.97,5.86,0.07
751155716,Saint-Lambert 16,Paris 15e Arrondissement,15,50268.755000012505,0.11244354636058719,0.0,0.0,0.1404870791373117,1.0,0.0,-17.74,-4.94,6.27,-1.86
751155717,Saint-Lambert 17,Paris 15e Arrondissement,15,60533.19000009125,0.09337682490092435,0.5245020954619382,0.12808341766172182,0.11666509830078747,1.0,0.0,-14.13,2.65,13.18,11.3
751155718,Saint-Lambert 18,Paris 15e Arrondissement,15,41949.62000036788,0.4042275293518751,0.0,0.0,0.1683474263118226,1.0,0.0,-8.67,1.45,9.58,1.65
751155719,Saint-Lambert 19,Paris 15e Arrondissement,15,50079.22000026736,0.2257382236904939,0.38039472260000046,0.0,0.11457775962662435,1.0,0.0,-12.63,0.61,9.07,6.93
751155702,Saint-Lambert 2,Paris 15e Arrondissement,15,111565.3349996622,0.050664456691229584,0.0,0.0,0.03165011139814295,1.0,0.0,-21.48,-8.35,1.61,-4.23
751155720,Saint-Lambert 20,Paris 15e Arrondissement,15,47638.26499993751,0.11865245477223654,0.13329530368112752,0.0,0.157509776477891,1.0,0.0,-16.48,-3.14,8.0,1.28
751155721,Saint-Lambert 21,Paris 15e Arrondissement,15,46034.57000025799,0.0,0.2758777588222552,0.0,0.03835221313993653,1.0,0.56846118036778,-14.54,2.05,12.34,16.11
751155722,Saint-Lambert 22,Paris 15e Arrondissement,15,82530.640000437,0.13697693567632518,0.23082180145368106,0.0,0.07487336511095224,1.0,0.15854030696921342,-14.96,-1.08,8.15,6.39
751155723,Saint-Lambert 23,Paris 15e Arrondissement,15,52719.25500000128,0.21443387556720095,0.0,0.0,0.2762862076437771,1.0,0.0,-12.35,-0.19,12.28,1.36
751155724,Saint-Lambert 24,Paris 15e Arrondissement,15,65413.16000050745,0.0,0.09707461006255375,0.0,0.14844722411252403,1.0,0.20002753268506554,-17.99,-3.06,9.53,4.39
751155725,Saint-Lambert 25,Paris 15e Arrondissement,15,81395.19500019847,0.20833160053191552,0.07801390487476828,0.19050996455402913,0.09760864117383256,1.0,0.0,-12.98,1.66,11.82,4.12
751155726,Saint-Lambert 26,Paris 15e Arrondissement,15,70188.20500036962,0.08053200795351781,0.09047042875616008,0.0,0.07546257838247573,1.0,0.3728385132506529,-14.91,-0.38,9.95,8.49
751155727,Saint-Lambert 27,Paris 15e Arrondissement,15,86029.49000012678,0.06570301745743902,0.14762279771737205,0.5858041942545871,0.1180035349808835,1.0,0.30418483243398614,-8.18,14.36,28.88,20.74
751155728,Saint-Lambert 28,Paris 15e Arrondissement,15,35148.85500022061,0.0,0.0,0.0,0.16324756045235214,1.0,0.0,-20.65,-6.74,6.28,-2.69
751155729,Saint-Lambert 29,Paris 15e Arrondissement,15,82175.75499991298,0.27513697115840996,0.0,0.0,0.25244611108678994,1.0,0.15922498065334212,-9.11,2.94,14.28,5.81
751155703,Saint-Lambert 3,Paris 15e Arrondissement,15,100256.09000018616,0.05637958834543028,0.1266747386616994,0.19333732886360452,0.1056610709904173,1.0,0.13051010666794038,-15.45,1.3,13.43,7.17
751155730,Saint-Lambert 30,Paris 15e Arrondissement,15,90635.82000034767,0.062363832349188464,0.21018037901519537,0.08554341823297135,0.06330791547378799,1.0,0.1443627144321609,-16.64,-1.08,9.38,6.42
751155731,Saint-Lambert 31,Paris 15e Arrondissement,15,61790.30000019468,0.09147709403118447,0.10276624324511603,0.0,0.09286190278185079,1.0,0.21175545352577516,-16.1,-2.11,8.32,4.9
751155732,Saint-Lambert 32,Paris 15e Arrondissement,15,310277.21000056306,0.0,0.0,0.0,0.00569016216322178,1.0,0.0421701387607913,-22.93,-9.25,0.87,-4.06
751155733,Saint-Lambert 33,Paris 15e Arrondissement,15,14529.520000006818,0.0,0.0,0.0,0.0,1.0,0.0,-23.53,-10.0,0.0,-5.26
751155704,Saint-Lambert 4,Paris 15e Arrondissement,15,172322.04000101457,0.0,0.03684936065039222,0.022496535722106126,0.023052403459249107,1.0,0.30372047591725104,-19.07,-4.05,6.53,4.34
751155705,Saint-Lambert 5,Paris 15e Arrondissement,15,116813.39000050655,0.04838826339436253,0.2174393534844306,0.03318668286719711,0.1133556461580025,1.0,0.22402282820450956,-15.8,-0.4,10.87,8.21
751155706,Saint-Lambert 6,Paris 15e Arrondissement,15,61018.480000082345,0.0926341836657563,0.0,0.571791371355926,0.1736058623996704,1.0,0.0,-11.01,9.62,24.98,10.49
