iris_code,iris_name,iris_commune,arrondissement,iris_surface_m2,shops_count,food_stores_count,restaurants_count,loisir_count,pharmacies_count,colleges_count,schools_count,lycees_count,hospitals_count,green_spaces_count,sports_count,health_services,education_sites,sports_sites,local_life_sites,health_density,education_density,sport_density,vibrance_density,green_space_density,avg_noise_db
751114115,Folie Méricourt 15,Paris 11e Arrondissement,11,42333.10500030474,93,10,22,8,2,0,0,0,0,0,0,2,0,0,40,47.244349309732954,0.0,0.0,944.886986194659,0.0,41.28
751114102,Folie Méricourt 2,Paris 11e Arrondissement,11,46081.23499984979,71,14,37,7,2,0,1,0,0,0,0,2,1,0,58,43.40161456190398,21.70080728095199,0.0,1258.6468222952155,0.0,41.28
751114103,Folie Méricourt 3,Paris 11e Arrondissement,11,40034.640000103514,68,7,34,3,0,0,0,1,1,0,2,1,1,2,44,24.978368732612914,24.978368732612914,49.95673746522583,1099.0482242349683,0.0,41.28
751114104,Folie Méricourt 4,Paris 11e Arrondissement,11,47565.06499993586,90,12,18,10,2,0,0,0,0,1,1,2,0,1,40,42.04766670670369,0.0,21.023833353351844,840.9533341340738,21.023833353351844,41.28
751114105,Folie Méricourt 5,Paris 11e Arrondissement,11,48709.72500009681,115,15,26,26,1,0,0,0,0,0,0,1,0,0,67,20.529781270537093,0.0,0.0,1375.4953451259853,0.0,41.28
751114106,Folie Méricourt 6,Paris 11e Arrondissement,11,71331.06500013107,161,17,46,24,0,1,0,0,0,1,8,0,1,8,87,0.0,14.019137384226108,112.15309907380886,1219.6649524276713,14.019137384226108,41.28
751114107,Folie Méricourt 7,Paris 11e Arrondissement,11,96778.7650002911,98,8,27,14,0,0,0,0,0,2,14,0,0,14,49,0.0,0.0,144.659833176812,506.30941611884197,20.665690453830283,41.28
751114108,Folie Méricourt 8,Paris 11e Arrondissement,11,58223.24000047454,65,8,20,7,2,0,2,0,1,0,2,3,2,2,35,51.52581683835439,34.350544558902925,34.350544558902925,601.1345297808011,0.0,41.28
751114109,Folie Méricourt 9,Paris 11e Arrondissement,11,58776.69500024892,96,11,43,10,2,1,4,1,0,0,0,2,6,0,64,34.02709185998856,102.08127557996568,0.0,1088.866939519634,0.0,41.28
751114301,Roquette 1,Paris 11e Arrondissement,11,43042.02000009264,30,5,5,5,2,0,0,0,0,1,11,2,0,11,15,46.466220683780534,0.0,255.5642137607929,348.496655128354,23.233110341890267,41.28
