X,Y,nom,id,objectid,numero_uai,appellatio,patronyme_,secteur_pu,adresse_ua,lieu_dit_u,boite_post,code_posta,localite_a,libelle_co,localisati,nature_uai,nature_u_1,code_depar,code_acade,code_commu
646243.200000003,6865191.4045,Ecole élémentaire publique Huissiers,0920228Y,2639,0920228Y,Ecole élémentaire publique Huissiers,HUISSIERS,Public,20 rue des Huissiers, , ,92200,NEUILLY SUR SEINE,Neuilly-sur-Seine,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92051
647113.799999997,6852280.9045,Ecole élémentaire publique Pierre Brossolette,0920231B,2640,0920231B,Ecole élémentaire publique Pierre Brossolette,PIERRE BROSSOLETTE,Public,59 rue Jean Longuet, , ,92290,CHATENAY MALABRY,Châtenay-Malabry,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92019
645570.100000001,6867837.1045,Ecole élémentaire publique André Marsault,0920286L,2641,0920286L,Ecole élémentaire publique André Marsault,ANDRE MARSAULT,Public,48 rue du Moulin Bailly, , ,92250,LA GARENNE COLOMBES,La Garenne-Colombes,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92035
641962.700000003,6862759.0045,Ecole élémentaire publique Vaillant-Jaurès,0920332L,2642,0920332L,Ecole élémentaire publique Vaillant-Jaurès,VAILLANT-JAURES,Public,6 avenue Edouard Vaillant, , ,92150,SURESNES,Suresnes,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92073
650893.899999999,6870453.5045,Ecole élémentaire publique Jules Verne B,0920340V,2643,0920340V,Ecole élémentaire publique Jules Verne B,JULES VERNE B,Public,Voie Promenade, , ,92390,VILLENEUVE LA GARENNE,Villeneuve-la-Garenne,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92078
647217.5,6868899.1045,Ecole élémentaire publique Michelet B,0920382R,2644,0920382R,Ecole élémentaire publique Michelet B,MICHELET B,Public,46 rue Michelet, , ,92600,ASNIERES SUR SEINE,Asnières-sur-Seine,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92004
643180.100000001,6863539.0045,Ecole élémentaire publique Jules Ferry,0920437A,2645,0920437A,Ecole élémentaire publique Jules Ferry,JULES FERRY,Public,12 rue Jules Ferry, , ,92150,SURESNES,Suresnes,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92073
644464.5,6859362.8045,Ecole maternelle publique Gabriel et Charles Voisin,0920464E,2646,0920464E,Ecole maternelle publique Gabriel et Charles Voisin,GABRIEL ET CHARLES VOISIN,Public,178 rue de Billancourt, , ,92100,BOULOGNE BILLANCOURT,Boulogne-Billancourt,Numéro de rue,101,ECOLE MATERNELLE,92,25,92012
649926.200000003,6857044.0045,Ecole maternelle publique Nicolas Boileau,0920465F,2647,0920465F,Ecole maternelle publique Nicolas Boileau,BOILEAU,Public,8 rue Racine, , ,92120,MONTROUGE,Montrouge,Numéro de rue,101,ECOLE MATERNELLE,92,25,92049
644288.700000003,6864780.3045,Ecole maternelle publique Benoit Malon,0920474R,2648,0920474R,Ecole maternelle publique Benoit Malon,BENOIT MALON,Public,7 rue Collin, , ,92800,PUTEAUX,Puteaux,Numéro de rue,101,ECOLE MATERNELLE,92,25,92062
