X,Y,nom,id,objectid,numero_uai,appellatio,denominati,patronyme_,adresse_ua,lieu_dit_u,code_posta,localite_a,libelle_co,code_depar,code_acade,code_commu
667295.299999997,6856223.9045,Collège Boileau,0940787V,265,0940787V,Collège Boileau,COLLEGE,NICOLAS BOILEAU,20 route DU PLESSIS, ,94430,CHENNEVIERES SUR MARNE,Chennevières-sur-Marne,94,24,94019
664998.700000003,6860285.0045,Collège Henri Cahn,0941014S,266,0941014S,Collège Henri Cahn,COLLEGE,HENRI CAHN,26 boulevard DU GENERAL GALLIENI, ,94360,BRY SUR MARNE,Bry-sur-Marne,94,24,94015
656667.700000003,6858039.4045,Collège La Cerisaie,0941353K,267,0941353K,Collège La Cerisaie,COLLEGE,LA CERISAIE,19 rue DE LA CERISAIE, ,94220,CHARENTON LE PONT,Charenton-le-Pont,94,24,94018
662894.600000001,6854490.1045,Collège Louis Blanc,0941600D,268,0941600D,Collège Louis Blanc,COLLEGE,LOUIS BLANC,7 boulevard DES MURIERS, ,94100,ST MAUR DES FOSSES,Saint-Maur-des-Fossés,94,24,94068
673836.600000001,6824371.9046,Collège Robert Doisneau,0770019C,269,0770019C,Collège Robert Doisneau,COLLEGE,ROBERT DOISNEAU,57 avenue Emile Zola, ,77196,DAMMARIE LES LYS CEDEX,Dammarie-les-Lys,77,24,77152
675022.799999997,6828038.3046,Collège les Capucins,0770033T,270,0770033T,Collège les Capucins,COLLEGE,LES CAPUCINS,ROUTE DE VOISENON, ,77000,MELUN,Melun,77,24,77288
730084.0,6838634.7045,Collège les Tournelles,0770059W,271,0770059W,Collège les Tournelles,COLLEGE,LES TOURNELLES,RUE DES TOURNELLES, ,77560,VILLIERS ST GEORGES,Villiers-Saint-Georges,77,24,77519
662870.899999999,6862744.9045,Collège Saint-Exupéry,0930593P,272,0930593P,Collège Saint-Exupéry,COLLEGE,SAINT EXUPERY,173 rue Victor Hugo, ,93110,ROSNY SOUS BOIS,Rosny-sous-Bois,93,24,93064
659862.5,6869950.1045,Collège Anatole France,0930892P,273,0930892P,Collège Anatole France,COLLEGE,ANATOLE FRANCE,110 rue Anatole France, ,93700,DRANCY,Drancy,93,24,93029
665538.0,6862397.7045,Collège Honoré de Balzac,0930894S,274,0930894S,Collège Honoré de Balzac,COLLEGE,HONORE DE BALZAC,65 rue PAUL ET CAMILLE THOMOUX, ,93330,NEUILLY SUR MARNE,Neuilly-sur-Marne,93,24,93050
660989.200000003,6867573.7045,Collège Jean-Pierre Timbaud,0930900Y,275,0930900Y,Collège Jean-Pierre Timbaud,COLLEGE,JEAN-PIERRE TIMBAUD,15 rue JEAN-PIERRE TIMBAUD, ,93000,BOBIGNY,Bobigny,93,24,93008
686189.299999997,6885774.8045,Section d'enseignement général et professionnel adapté Jean des Barres,0771913L,276,0771913L,Section d'enseignement général et professionnel adapté Jean des Barres,SEGPA,CLG JEAN DES BARRES,RUE DE LA RAPERIE, ,77178,OISSERY,Oissery,77,24,77344
722379.0,6854023.4045,Section d'enseignement général et professionnel adapté Jean Campin,0772070G,277,0772070G,Section d'enseignement général et professionnel adapté Jean Campin,SEGPA,CLG JEAN CAMPIN,28 RUE MAGINOT, ,77320,LA FERTE GAUCHER,La Ferté-Gaucher,77,24,77182
650032.5,6873389.1045,Ecole Tachbar,0932647X,278,0932647X,Ecole Tachbar,COLLEGE PRIVE,TACHBAR,62 rue DU CHEMIN VERT, ,93800,EPINAY SUR SEINE,Epinay-sur-Seine,93,24,93031
661958.200000003,6851998.7045,Section d'enseignement général et professionnel adapté Paul Eluard,0941096F,279,0941096F,Section d'enseignement général et professionnel adapté Paul Eluard,SEGPA,CLG PAUL ELUARD,Voie PAUL ELUARD, ,94380,BONNEUIL SUR MARNE,Bonneuil-sur-Marne,94,24,94011
661085.200000003,6856648.3045,Section d'enseignement général et professionnel adapté François Rabelais,0941223U,280,0941223U,Section d'enseignement général et professionnel adapté François Rabelais,SEGPA,CLG FRANCOIS RABELAIS,10 RUE DU PONT DE CRETEIL, ,94107,ST MAUR DES FOSSES CEDEX,Saint-Maur-des-Fossés,94,24,94068
654177.200000003,6868590.5045,Collège La Réussite,0932575U,281,0932575U,Collège La Réussite,COLLEGE PRIVE,LA REUSSITE,3 impasse CHARLES COUSIN, ,93300,AUBERVILLIERS,Aubervilliers,93,24,93001
661470.100000001,6871850.2045,Collège privé Excelle,0932669W,282,0932669W,Collège privé Excelle,COLLÈGE PRIVÉ,EXCELLE,7 rue ISAAC NEWTON, ,93150,LE BLANC MESNIL,Le Blanc-Mesnil,93,24,93007
667963.799999997,6872948.6045,Collège privé Malik Ibn Anas,0932686P,283,0932686P,Collège privé Malik Ibn Anas,COLLÈGE PRIVÉ,MALIK IBN ANAS,17 allée Louis Bréguet, ,93420,VILLEPINTE,Villepinte,93,24,93078
660999.700000003,6857335.9045,Collège privé ISE - Institut de Soutien de l'Enseignement (filles),0942143U,284,0942143U,Collège privé ISE - Institut de Soutien de l'Enseignement (filles),COLLEGE PRIVE,ISE,9 impasse JULES ROUSSEAU, ,94340,JOINVILLE LE PONT,Joinville-le-Pont,94,24,94042
652179.600000001,6865555.4045,Collège Roland Dorgelès,0750429J,285,0750429J,Collège Roland Dorgelès,COLLEGE,ROLAND DORGELES,63 rue DE CLIGNANCOURT, ,75018,PARIS,Paris 18e  Arrondissement,75,01,75118
655029.700000003,6863944.9045,Collège Françoise Dolto,0750552T,286,0750552T,Collège Françoise Dolto,COLLEGE,FRANCOISE DOLTO,354 rue des Pyrénées, ,75020,PARIS,Paris 20e  Arrondissement,75,01,75120
654151.0,6860469.4045,Collège Paul Verlaine,0750609E,287,0750609E,Collège Paul Verlaine,COLLEGE,PAUL VERLAINE,167 rue DE BERCY, ,75012,PARIS,Paris 12e  Arrondissement,75,01,75112
651237.0,6862926.5045,Collège Jean-Baptiste Poquelin,0751703U,288,0751703U,Collège Jean-Baptiste Poquelin,COLLEGE,JEAN-BAPTISTE POQUELIN,6 rue Molière, ,75001,PARIS,Paris  1er Arrondissement,75,01,75101
638874.100000001,6860139.8045,Etablissement régional d'enseignement adapté Jean Monnet,0920810F,289,0920810F,Etablissement régional d'enseignement adapté Jean Monnet,ETAB.REGIONAL ENSEIGNT ADAPTE,JEAN MONNET,106 boulevard RAYMOND POINCARE, ,92380,GARCHES,Garches,92,25,92033
655999.299999997,6870256.0045,Collège Georges Politzer,0931148T,290,0931148T,Collège Georges Politzer,COLLEGE,GEORGES POLITZER,11 rue GEORGES POLITZER, ,93120,LA COURNEUVE,La Courneuve,93,24,93027
656099.899999999,6868954.6045,Collège Gabriel Péri,0931185H,291,0931185H,Collège Gabriel Péri,COLLEGE,GABRIEL PERI,101 boulevard EDOUARD VAILLANT, ,93300,AUBERVILLIERS,Aubervilliers,93,24,93001
660521.0,6862260.6045,Collège Lenain de Tillemont,0931212M,292,0931212M,Collège Lenain de Tillemont,COLLEGE,LENAIN DE TILLEMONT,87 rue LENAIN DE TILLEMONT, ,93100,MONTREUIL,Montreuil,93,24,93048
656050.700000003,6864990.6045,Collège Jean-Jacques Rousseau,0931219V,293,0931219V,Collège Jean-Jacques Rousseau,COLLEGE,JEAN-JACQUES ROUSSEAU,24 rue EMILE AUGIER, ,93310,LE PRE ST GERVAIS,Le Pré-Saint-Gervais,93,24,93061
653628.399999999,6874525.8045,Collège Pablo Néruda,0931224A,294,0931224A,Collège Pablo Néruda,COLLEGE,PABLO NERUDA,9 rue AUDENET, ,93380,PIERREFITTE SUR SEINE,Pierrefitte-sur-Seine,93,24,93059
652259.299999997,6871248.8045,Collège Elsa Triolet,0931230G,295,0931230G,Collège Elsa Triolet,COLLEGE,ELSA TRIOLET,2 passage DE LA COLOMBE, ,93200,ST DENIS,Saint-Denis,93,24,93066
657088.299999997,6872408.1045,Collège Jean-Baptiste Clément,0931376R,296,0931376R,Collège Jean-Baptiste Clément,COLLEGE,JEAN-BAPTISTE CLEMENT,5 rue CHARDAVOINE, ,93440,DUGNY,Dugny,93,24,93030
664833.299999997,6872470.1045,Collège Pablo Néruda,0931379U,297,0931379U,Collège Pablo Néruda,COLLEGE,PABLO NERUDA,4 rue DU DR FLEMING, ,93604,AULNAY SOUS BOIS CEDEX,Aulnay-sous-Bois,93,24,93005
