objectid,numero_uai,appellatio,denominati,patronyme_,secteur_pu,adresse_ua,lieu_dit_u,boite_post,code_posta,localite_a,libelle_co,appariemen,localisati,nature_uai,etat_eta_1,code_depar,code_acade,code_commu,libelle_de,libelle_ac,contrat,id,nom,x,y
48,0783214V,"Lycée professionnel Lucien René Duchesne, lycée des métiers de l'automoblie",LP LYCEE DES METIERS,LUCIEN RENE DUCHESNE,Public,49 avenue MAURICE DE HIRSCH, ,30,78170,LA CELLE ST CLOUD,La Celle-Saint-Cloud,Parfaite,Numéro de rue,320,OUVERT,78,25,78126,Yvelines,Versailles,Public,0783214V,"Lycée professionnel Lucien René Duchesne, lycée des métiers de l'automoblie",635325.500051,6860491.60453
49,0783549J,Lycée d'enseignement général International,LYCEE D'ENSEIGNEMENT GENERAL,INTERNATIONAL,Public,Rue DU FER A CHEVAL, ,5230,78101,ST GERMAIN EN LAYE CEDEX,Saint-Germain-en-Laye,Parfaite,Numéro de rue,302,OUVERT,78,25,78551,Yvelines,Versailles,Public,0783549J,Lycée d'enseignement général International,631197.200054,6866546.40453
50,0910620E,"Lycée polyvalent Robert Doisneau, lycée des métiers des services aux entreprises et de l'industrie",LPO LYCEE DES METIERS,ROBERT DOISNEAU,Public,95 boulevard Jean Jaurès, , ,91107,CORBEIL ESSONNES CEDEX,Corbeil-Essonnes,Parfaite,Numéro de rue,306,OUVERT,91,25,91174,Essonne,Versailles,Public,0910620E,"Lycée polyvalent Robert Doisneau, lycée des métiers des services aux entreprises et de l'industrie",660053.700031,6834853.20455
51,0910629P,"Lycée professionnel Chateau des Coudraies, lycée des métiers de bouche et d'hôtellerie",LP LYCEE DES METIERS,HOTELIER CHATEAU DES COUDRAIES,Public,2 boulevard Charles de Gaulle, , ,91450,ETIOLLES,Etiolles,Parfaite,Numéro de rue,320,OUVERT,91,25,91225,Essonne,Versailles,Public,0910629P,"Lycée professionnel Chateau des Coudraies, lycée des métiers de bouche et d'hôtellerie",660592.800031,6837378.80455
52,0910630R,"Lycée professionnel Alexandre Denis, lycée des métiers de l'aéronautique, du transport et de la logistique",LP LYCEE DES METIERS,ALEXANDRE DENIS,Public,Château MONTMIRAULT AV CARNOT, , ,91590,CERNY,Cerny,Parfaite,Numéro de rue,320,OUVERT,91,25,91129,Essonne,Versailles,Public,0910630R,"Lycée professionnel Alexandre Denis, lycée des métiers de l'aéronautique, du transport et de la logistique",650778.100038,6820492.00455
53,0910687C,Lycée général et technologique Fustel de Coulanges,LYCEE GENERAL ET TECHNOLOGIQUE,FUSTEL DE COULANGES,Public,11 RUE DES MIGNEAUX, , ,91300,MASSY,Massy,Parfaite,Numéro de rue,300,OUVERT,91,25,91377,Essonne,Versailles,Public,0910687C,Lycée général et technologique Fustel de Coulanges,646055.000042,6848400.80454
54,0911021R,Lycée général et technologique François-Joseph Talma,LYCEE GENERAL ET TECHNOLOGIQUE,FRANCOIS-JOSEPH TALMA,Public,1 rue DES CERFS, ,84,91805,BRUNOY CEDEX,Brunoy,Parfaite,Numéro de rue,300,OUVERT,91,25,91114,Essonne,Versailles,Public,0911021R,Lycée général et technologique François-Joseph Talma,663447.500029,6843767.90454
55,0750463W,Lycée polyvalent Lucas de Nehou - Lycée des métiers des arts du verre et des structures verrières,LPO LYCEE DES METIERS,LUCAS DE NEHOU,Public,19 rue FRIANT, , ,75014,PARIS,Paris 14e  Arrondissement,Parfaite,Numéro de rue,306,OUVERT,75,01,75114,Paris,Paris,Public,0750463W,Lycée polyvalent Lucas de Nehou - Lycée des métiers des arts du verre et des structures verrières,650378.300039,6858564.10453
56,0750588G,Lycée professionnel René Cassin - Lycée des métiers de la communication de la gestion et du management d'entreprise,LP LYCEE DES METIERS,RENE CASSIN,Public,185 avenue de Versailles, , ,75016,PARIS,Paris 16e  Arrondissement,Parfaite,Numéro de rue,320,OUVERT,75,01,75116,Paris,Paris,Public,0750588G,Lycée professionnel René Cassin - Lycée des métiers de la communication de la gestion et du management d'entreprise,645968.100042,6860234.70453
57,0750650Z,Lycée polyvalent d'Alembert - Lycée des métiers de la mode,LPO LYCEE DES METIERS,D'ALEMBERT,Public,22 sente DES DOREES, , ,75019,PARIS,Paris 19e  Arrondissement,Parfaite,Numéro de rue,306,OUVERT,75,01,75119,Paris,Paris,Public,0750650Z,Lycée polyvalent d'Alembert - Lycée des métiers de la mode,655522.300035,6865529.80453
