objectid,commune_code,postal_code,x_coord,y_coord,adresse_ua,appellatio,denominati,etat_eta_1,libelle_de,numero_uai,secteur_pu
80,75115,75015,649558.900039,6860584.00453,31 boulevard Pasteur,Section d'enseignement professionnel du Lycée polyvalent Fresnel,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754885C,Public
132,75115,75015,648856.60004,6859819.60453,5 rue CORBON,Lycée professionnel Claude Anthime Corbon - Lycée des métiers de la communication et de la gestion d'entreprise,LP LYCEE DES METIERS,OUVERT,Paris,0750436S,Public
133,75106,75006,650987.100038,6861522.10453,5 RUE MADAME,Lycée polyvalent Maximilien Vox-arts appliqués - design de communication - industries graphiques,LYCEE POLYVALENT,OUVERT,Paris,0750502N,Public
134,75113,75013,653033.900037,6858040.40453,2 RUE TAGORE,Lycée professionel Gaston Bachelard,LYCEE PROFESSIONNEL,OUVERT,Paris,0750553U,Public
135,75115,75015,648250.80004,6859523.80453,63 rue OLIVIER DE SERRES,Lycée technologique Ecole Nationale Supérieure des Arts Appliqués,LYCEE TECHNOLOGIQUE,OUVERT,Paris,0750612H,Public
136,75108,75008,650106.700039,6864850.10453,45 boulevard DES BATIGNOLLES,Lycée général et technologique Chaptal,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750663N,Public
137,75111,75011,654845.500035,6862786.70453,101 avenue de la République,Lycée général et technologique Voltaire,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750675B,Public
138,75111,75011,655408.700035,6861758.00453,74 avenue PHILIPPE AUGUSTE,"Lycée polyvalent Dorian - Lycée des métiers de la mécatronique, de la topographie et de la verrerie",LPO LYCEE DES METIERS,OUVERT,Paris,0750676C,Public
139,75113,75013,652751.000037,6859809.90453,11 rue PIRANDELLO,Lycée général et technologique Pierre-Gilles de Gennes,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750685M,Public
140,75115,75015,648400.40004,6860553.10453,11 rue LEON LHERMITTE,Lycée général Camille Sée,LYCEE GENERAL,OUVERT,Paris,0750694X,Public
141,75117,75849,649796.700039,6866354.50453,118 boulevard BESSIERES,Lycée général et technologique Honoré de Balzac,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750705J,Public
142,75103,75003,653048.800037,6863108.20453,70 bis rue DE TURBIGO,Lycée professionnel Abbé Grégoire,LYCEE PROFESSIONNEL,OUVERT,Paris,0750770E,Public
143,75115,75015,647666.500041,6861151.10453,62 rue SAINT CHARLES,Lycée Professionnel Beaugrenelle - Lycée des métiers de la communication et de la gestion d'entreprise,LP LYCEE DES METIERS,OUVERT,Paris,0750793E,Public
144,75116,75016,646622.300042,6862605.40453,9 rue OCTAVE FEUILLET,Lycée Professionnel Octave Feuilet - Lycée des métiers de la mode,LP LYCEE DES METIERS,OUVERT,Paris,0750796H,Public
155,75118,75018,651205.600038,6866449.70453,135 rue BELLIARD,Lycée professionnel Belliard - Lycée des métiers de l'hôtellerie et de la restauration,LP LYCEE DES METIERS,OUVERT,Paris,0752608C,Public
156,75119,75019,654253.900036,6864920.90453,45 RUE ARMAND CARREL,Lycée professionnel Armand Carrel,LYCEE PROFESSIONNEL,OUVERT,Paris,0752700C,Public
157,75114,75014,650887.200038,6860059.70453,237 boulevard Raspail,Section d'enseignement professionnel du Lycée polyvalent Guillaume Tyrel,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754890H,Public
158,75119,75019,655694.800035,6864779.90453,61 rue DAVID D ANGERS,Section d enseignement professionnel du lycée polyvalent Diderot,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0755099K,Public
166,75120,75020,655784.700035,6862169.80453,17 rue LIGNER,Lycée professionnel Charles de Gaulle,LYCEE PROFESSIONNEL,OUVERT,Paris,0750508V,Public
167,75103,75003,653274.200037,6862129.20453,27 RUE DE SEVIGNE,Lycée général Victor Hugo,LYCEE GENERAL,OUVERT,Paris,0750648X,Public
168,75104,75004,653074.600037,6861767.70453,14 rue Charlemagne,Lycée général Charlemagne,LYCEE GENERAL,OUVERT,Paris,0750652B,Public
169,75105,75005,652106.200037,6860899.40453,23 rue CLOVIS,Lycée général Henri IV,LYCEE GENERAL,OUVERT,Paris,0750654D,Public
170,75105,75005,651871.800038,6861084.60453,123 rue SAINT JACQUES,Lycée général Louis Le Grand,LYCEE GENERAL,OUVERT,Paris,0750655E,Public
171,75105,75005,651508.900038,6860460.00453,17 rue Henri Barbusse,Lycée général Lavoisier,LYCEE GENERAL,OUVERT,Paris,0750656F,Public
172,75106,75006,651279.400038,6860664.60453,17 RUE AUGUSTE COMTE,Lycée général Montaigne,LYCEE GENERAL,OUVERT,Paris,0750657G,Public
173,75106,75006,651691.100038,6861208.00453,44 boulevard SAINT MICHEL,Lycée général Saint Louis,LYCEE GENERAL,OUVERT,Paris,0750658H,Public
174,75109,75009,650632.300039,6864075.20453,8 RUE DU HAVRE,Lycée général Condorcet,LYCEE GENERAL,OUVERT,Paris,0750667T,Public
175,75109,75009,650799.200038,6865103.70453,77 boulevard DE CLICHY,Lycée général Jules Ferry,LYCEE GENERAL,OUVERT,Paris,0750669V,Public
176,75113,75013,652079.000037,6859356.70453,19 RUE CORVISART,Lycée général Rodin,LYCEE GENERAL,OUVERT,Paris,0750682J,Public
177,75113,75013,653114.800037,6858410.60453,81 AVENUE DE CHOISY,Lycée général Gabriel Fauré,LYCEE GENERAL,OUVERT,Paris,0750684L,Public
178,75114,75014,649035.40004,6858699.40453,10 avenue MARC SANGNIER,Lycée général et technologique François Villon,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750690T,Public
179,75114,75014,649553.200039,6858512.00453,5 BIS AVENUE MAURICE D OCAGNE,Lycée polyvalent Raspail - Lycée des métiers des énergies et de l'environnement,LPO LYCEE DES METIERS,OUVERT,Paris,0750691U,Public
180,75116,75016,645317.700043,6860472.40453,1 avenue DU PARC DES PRINCES,Lycée général et technologique Claude Bernard,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750698B,Public
181,75116,75016,646234.900042,6861049.20453,11 bis rue D'AUTEUIL,Lycée général et technologique Jean-Baptiste Say,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750700D,Public
182,75116,75016,646591.300042,6861908.90453,71 RUE DU RANELAGH,Lycée général Molière,LYCEE GENERAL,OUVERT,Paris,0750703G,Public
183,75117,75017,648937.10004,6864750.60453,20 rue MEDERIC,Lycée Polyvalent Jean Drouant - Lycée des métiers de l'hôtellerie et de la restauration,LPO LYCEE DES METIERS,OUVERT,Paris,0750708M,Public
184,75119,75019,654276.100036,6864683.90453,2 bis rue BOURET,Lycée général et technologique Jacquard,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750713T,Public
185,75120,75020,656479.100034,6861027.30453,75 COURS DE VINCENNES,Lycée général Hélène Boucher,LYCEE GENERAL,OUVERT,Paris,0750714U,Public
186,75120,75020,656579.500034,6861010.20453,89 cours DE VINCENNES,Lycée général et technologique Maurice Ravel,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750715V,Public
187,75113,75013,652028.700038,6858345.00453,92 rue BARRAULT,Lycée polyvalent Lazare Ponticelli,LYCEE POLYVALENT,OUVERT,Paris,0750786X,Public
