adresse_complete,latitude,longitude,coordinates,categorie_de_l_etablissement,complement_adresse,cp_ville,num_cat,num_fax,num_tel,participant_service_public_hospitalier,raison_sociale,raison_sociale_entite_juridique,type_etablissement
22 R DE LA POINTE D'IVRY,48.822432,2.3637947,"48.822432,2.3637947",Atelier Thérapeutique,,75013 PARIS,366,145707338,153942020,Etablissement de santé privé d’intérêt collectif,ATELIER THERAPEUTIQUE M.G.E.N.,ATELIER THERAPEUTIQUE HOPITAL DE JOUR,Autres Etablissements de Lutte contre les Maladies Mentales
27 R DU FAUBOURG SAINT-JACQUES,48.8358652,2.3377527,"48.8358652,2.3377527",Centre Hospitalier Régional (C.H.R.),,75679 PARIS CEDEX 14,101,158411120,158414141,Etablissement public de santé,HOPITAL COCHIN,HOPITAUX UNIVERSITAIRES PARIS CENTRE-HOP COCHIN,Centres Hospitaliers Régionaux
8 PL DE L'ABBE G. HENOCQUE,48.8238387,2.3529865,"48.8238387,2.3529865",Etablissement de Soins Pluridisciplinaire,,75013 PARIS,365,145884156,145880445,Non concerné,HÔPITAL PRIVÉ DES PEUPLIERS,,Etablissements de Soins de Courte Durée
82 AV DENFERT-ROCHEREAU,48.8359687,2.3338655,"48.8359687,2.3338655",Centre Hospitalier Régional (C.H.R.),,75014 PARIS,101,,140488111,Etablissement public de santé,GPE HOSP COCHIN-SAINT VINCENT DE PAUL,GPE HOSP COCHIN-SAINT VINCENT DE PAUL-GPT HOSP UNIVERS.OUEST,Centres Hospitaliers Régionaux
124 BD NEY,48.8978872,2.3408543,"48.8978872,2.3408543",Centre Médico-Psychologique (C.M.P.),,75018 PARIS,156,142597532,142590202,Etablissement public de santé,CMP NEY (HOPITAL BICHAT),,Autres Etablissements de Lutte contre les Maladies Mentales
13 SQ DES CARDEURS,48.858564,2.4074078,"48.858564,2.4074078",Centre Médico-Psychologique (C.M.P.),,75020 PARIS,156,143792476,143796355,Etablissement public de santé,CMP ADULTES DES CARDEURS,CENTRE MÉDICO-PSYCHOLOGIQUE ADULTES MAISON BLANCHE SECTEUR29,Autres Etablissements de Lutte contre les Maladies Mentales
59 R GEOFFROY SAINT HILAIRE,48.8435919,2.3549532,"48.8435919,2.3549532",Etablissement de Soins Chirurgicaux,,75005 PARIS,128,143377398,144084000,Non concerné,CLINIQUE GEOFFROY SAINT-HILAIRE,CLINIQUE GEOFFROY SAINT-HILAIRE,Etablissements de Soins de Courte Durée
11 R PONS CARME,48.8265034,2.3676796,"48.8265034,2.3676796",Etablissement de Soins Pluridisciplinaire,,75013 PARIS,365,145838813,140770202,Non concerné,CLINIQUE JEANNE D'ARC,,Etablissements de Soins de Courte Durée
106 AV EMILE ZOLA,48.8466393,2.2897932,"48.8466393,2.2897932",Etablissement de Soins Médicaux,,75015 PARIS,129,143922110,143922100,Etablissement de santé privé d’intérêt collectif,MAISON MEDICALE JEANNE GARNIER,,Etablissements de Soins de Courte Durée
5B R DU DOME,48.8713798,2.2913808,"48.8713798,2.2913808",Etablissement de Soins Chirurgicaux,,75016 PARIS,128,153655370,153655365,Non concerné,CLINIQUE VICTOR HUGO,CLINIQUE CHIRURGICALE VICTOR HUGO,Etablissements de Soins de Courte Durée
