adresse_complete,latitude,longitude,coordinates,categorie_de_l_etablissement,complement_adresse,cp_ville,num_cat,num_fax,num_tel,participant_service_public_hospitalier,raison_sociale,raison_sociale_entite_juridique,type_etablissement
187 R SAINT-JACQUES,48.8451473,2.3425193,"48.8451473,2.3425193",Centre Médico-Psychologique (C.M.P.),,75005 PARIS,156,143256633,143293140,"Etab de santé privé non lucratif, non déclar intérêt collect",CMP - CCTP ADULTES JEAN FAVREAU,CMP - CENTRE CONSULTATIONS ET TRAITEMENTS PSYCHANALYTIQUES,Autres Etablissements de Lutte contre les Maladies Mentales
5 IMP DU LABRADOR,48.8292431,2.3030533,"48.8292431,2.3030533",Maison de Santé pour Maladies Mentales,,75015 PARIS,161,145318270,145315587,"Etab de santé privé non lucratif, non déclar intérêt collect",CENTRE LABRADOR,CENTRE LABRADOR (HOPITAL DE JOUR ET FOYER DE POST-CURE,Autres Etablissements de Lutte contre les Maladies Mentales
100 R DE LA SANTE,48.8273455,2.341519,"48.8273455,2.341519",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75158 PARIS CEDEX 14,292,,145658572,Etablissement public de santé,CMME,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
25 R MANIN,48.8779116,2.3780879,"48.8779116,2.3780879",Etablissement de Soins Pluridisciplinaire,,75940 PARIS CEDEX 19,365,148036923,148036565,Etablissement de santé privé d’intérêt collectif,FONDATION OPHTALMOLOGIQUE ROTHSCHILD,CLINIQUE FONDATION OPTHTALMOLOGIQUE ADOLPHE DE ROTHSCHILD,Etablissements de Soins de Courte Durée
3 R DE RIDDER,48.8311258,2.3118698,"48.8311258,2.3118698",Centre Médico-Psychologique (C.M.P.),,75014 PARIS,156,145454024,145450730,Etablissement public de santé,CENTRE RIDDER,HOPITAL DE JOUR DE RIDDER SAINTE-ANNE SECTEUR 13,Autres Etablissements de Lutte contre les Maladies Mentales
23 R JOSEPH DE MAISTRE,48.8908011,2.3310632,"48.8908011,2.3310632",Centre Hospitalier Régional (C.H.R.),,75885 PARIS CEDEX 18,101,153111809,153111800,Etablissement public de santé,HOPITAL BRETONNEAU ( AP-HP ),HOPITAL GERIATRIQUE BRETONNEAU ( AP- HP ),Centres Hospitaliers Régionaux
18 R DE LA TOUR D'AUVERGNE,48.8790801,2.3441854,"48.8790801,2.3441854",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75009 PARIS,292,142814640,142812722,Etablissement public de santé,CENTRE LA TOUR D'AUVERGNE,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
25 R CHARLES FOURRIER,48.8250138,2.3513743,"48.8250138,2.3513743",Atelier Thérapeutique,,75013 PARIS,366,153808814,153808881,Etablissement de santé privé d’intérêt collectif,ATELIER THERAPEUTIQUE LE FLEURON,ATELIER THERAPEUTIQUE LE FLEURON,Autres Etablissements de Lutte contre les Maladies Mentales
6 R TROLLEY DE PREVAUX,48.8262592,2.3731388,"48.8262592,2.3731388",Centre Postcure Malades Mentaux,,75013 PARIS,430,153942120,153942121,Etablissement de santé privé d’intérêt collectif,FOYER DE POST-CURE L'ELAN RETROUVE,FOYER DE POST-CURE L'ELAN RETROUVE,Autres Etablissements de Lutte contre les Maladies Mentales
5 IMP DU BON SECOURS,48.854938,2.3833511,"48.854938,2.3833511",Centre Médico-Psychologique (C.M.P.),,75543 PARIS CEDEX 11,156,144934489,144934488,Etablissement de santé privé d’intérêt collectif,CMP ECOLE PARENTS ET ÉDUCATEURS D'IDF,CMP ECOLE DES PARENTS ET DES EDUCATEURS D'ILE DE FRANCE,Autres Etablissements de Lutte contre les Maladies Mentales
12 R DU SERGENT BAUCHAT,48.8448201,2.3916175,"48.8448201,2.3916175",Etablissement de Soins Pluridisciplinaire,,75571 PARIS CEDEX 12,365,144741060,144741010,Etablissement de santé privé d’intérêt collectif,HOPITAL DES DIACONESSES,HOPITAL DES DIACONESSES OEUVRES DIACONESSES REUILLY,Etablissements de Soins de Courte Durée
95 R MICHEL ANGE,48.8402399,2.2581138,"48.8402399,2.2581138",Etablissement de Soins Longue Durée,,75016 PARIS,362,140712451,140712477,Etablissement de santé privé d’intérêt collectif,CENTRE DE LONG SEJOUR HENRY DUNANT,CENTRE DE LONG SEJOUR HENRY DUNANT,Etablissements de Soins de Longue Durée
14 R BOILEAU,48.8464867,2.2652721,"48.8464867,2.2652721",Etablissement de Soins Pluridisciplinaire,,75016 PARIS,365,146477560,140505200,Etablissement de santé privé d’intérêt collectif,CLINIQUE MED. PEDAGOGIQUE EDOUARD RIST,CLINIQUE MEDICALE ET PEDAGOGIQUE EDOUARD RIST,Etablissements de Soins de Courte Durée
8 R LANNEAU,48.8483432,2.3466214,"48.8483432,2.3466214",Centre Postcure Malades Mentaux,,75005 PARIS,430,144411939,144411930,"Etab de santé privé non lucratif, non déclar intérêt collect",FOYER POST-CURE RENE CAPITANT,FOYER DE POST-CURE CENTRE RENE CAPITANT,Autres Etablissements de Lutte contre les Maladies Mentales
2 R AMBROISE PARE,48.8819273,2.3527289,"48.8819273,2.3527289",Centre Hospitalier Régional (C.H.R.),,75475 PARIS CEDEX 10,101,149958212,149956565,Etablissement public de santé,HOPITAL LARIBOISERE,HOP LARIBOISIERE GH SAINT-LOUIS-LARIBOISIERE-FERNAND WIDAL,Centres Hospitaliers Régionaux
104 R DES COURONNES,48.8710419,2.3887031,"48.8710419,2.3887031",Etablissement Réadaptation Fonctionnelle,,75020 PARIS,135,,,indéterminé,CLINIQUE DU PARC DE BELLEVILLE,,Etablissements de Soins de Suite et de Réadaptation
36 BD SAINT MARCEL,48.8387317,2.3577837,"48.8387317,2.3577837",Etablissement de Soins Chirurgicaux,,75005 PARIS,128,140794089,140794000,Non concerné,CLINIQUE PARIS V,,Etablissements de Soins de Courte Durée
5 COUR DE LA METAIRIE,48.8736016,2.3857427,"48.8736016,2.3857427",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75020 PARIS,292,144621620,144621616,Etablissement public de santé,CENTRE DE POST-CURE DE LA METAIRIE,CENTRE CLINIQUE ET D'ACCUEIL DE LA MÉTAIRIE MAISON BLANCHE,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
167 R RAYMOND LOSSERAND,48.8303682,2.3112489,"48.8303682,2.3112489",Etablissement Réadaptation Fonctionnelle,,75014 PARIS,135,153906521,153906363,Etablissement de santé privé d’intérêt collectif,CENTRE PARIS SUD,CENTRE DE REEDUCATION FONCTIONNELLE PARIS SUD EX STE MARIE,Etablissements de Soins de Suite et de Réadaptation
3 R RIDDER,48.8311258,2.3118698,"48.8311258,2.3118698",Maison de Santé pour Maladies Mentales,,75014 PARIS,161,145451342,145454679,"Etab de santé privé non lucratif, non déclar intérêt collect",HOP DE JOUR CEREP (U.S.I.S. ET E.P.I.),HOPITAL DE JOUR CEREP (USIS ET EPI),Autres Etablissements de Lutte contre les Maladies Mentales
18 R SALNEUVE,48.8855503,2.3143885,"48.8855503,2.3143885",Centre Médico-Psychologique (C.M.P.),,75017 PARIS,156,146226754,147665980,Etablissement public de santé,CMP ADULTES SALNEUVE,CENTRE MEDICO-PSYCHOLOGIQUE PERRAY VAUCLUSE 75 G 20,Autres Etablissements de Lutte contre les Maladies Mentales
11 R CHARDON LAGACHE,48.8449824,2.2668309,"48.8449824,2.2668309",Centre Hospitalier Régional (C.H.R.),,75016 PARIS,101,144963161,144963131,Etablissement public de santé,GPE HOSP. STE PERINE / LAGACHE (AP-HP),GROUPE HOSPITALIER SAINTE PERINE-CHARDON LAGACHE (A.P-H.P.),Centres Hospitaliers Régionaux
5 R CLAUZEL,48.8789746,2.3391798,"48.8789746,2.3391798",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75009 PARIS,292,,144530739,Etablissement public de santé,ACCUEIL THERAPEUTIQUE ADOLESCENTS,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
3133 R HENRI ROCHEFORT,48.8821044,2.3076576,"48.8821044,2.3076576",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75017 PARIS,292,144159763,147660450,Etablissement public de santé,CENTRE ADULTES ROCHEFORT,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
1 R CABANIS,48.8302646,2.3412612,"48.8302646,2.3412612",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75014 PARIS,292,,140726608,Etablissement public de santé,HOPITAL DE JOUR LAMARTINE,HOPITAL DE JOUR ADULTES LAMARTINE DU CHS STE ANNE SECTEUR 17,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
5 R SANTERRE,48.8434977,2.4013272,"48.8434977,2.4013272",Centre Hospitalier Régional (C.H.R.),,75571 PARIS CEDEX 12,101,140193057,140193000,Etablissement public de santé,HOPITAL ROTHSCHILD (AP-HP),HOPITAL ROTHSCHILD (A.P. - H.P.),Centres Hospitaliers Régionaux
17 R DE MILAN,48.8787218,2.3277329,"48.8787218,2.3277329",Etablissement de Soins Chirurgicaux,,75009 PARIS,128,142801178,144634700,Non concerné,CLINIQUE MILAN,RELAIS MEDICAL CLINIQUE MILAN,Etablissements de Soins de Courte Durée
8B R CAILLAUX,48.822833,2.3615038,"48.822833,2.3615038",Centre Postcure Malades Mentaux,,75013 PARIS,430,153600711,144243700,Etablissement public de santé,FOYER DE POST-CURE CAILLAUX,FOYER DE POST-CURE CAILLAUX DU CHS SAINTE-ANNE SECTEUR 3,Autres Etablissements de Lutte contre les Maladies Mentales
39 R FESSART,48.8767242,2.3846421,"48.8767242,2.3846421",Etablissement de Convalescence et de Repos,,75019 PARIS,108,,158822626,Non concerné,CLINALLIANCE PARIS BUTTES CHAUMONT,CLINALLIANCE PARIS BUTTES CHAUMONT,Etablissements de Soins de Suite et de Réadaptation
54 R PASCAL,48.8340632,2.347548,"48.8340632,2.347548",Centre Hospitalier Régional (C.H.R.),,75013 PARIS,101,144083615,144083000,Etablissement public de santé,HOPITAL BROCA (AP-HP),HOPITAL BROCA (A.P.-H.P.),Centres Hospitaliers Régionaux
22 BD SEBASTOPOL,48.8604368,2.3494433,"48.8604368,2.3494433",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75004 PARIS,292,,142776231,Etablissement public de santé,CENTRE VICTOR SMIRNOFF,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
10 R RIVOLI,48.8554689,2.3604543,"48.8554689,2.3604543",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75004 PARIS,292,,148879236,Etablissement public de santé,CENTRE RIVOLI,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
120 QU DE JEMMAPES,48.8751735,2.3641778,"48.8751735,2.3641778",Centre Médico-Psychologique (C.M.P.),,75010 PARIS,156,142393074,142000505,Etablissement public de santé,CMP ENFANTS OPÉRA SAINT LAURENT,CTRE MÉDICO-PSYCHOLOGIQUE DE L'EPS MAISON BLANCHE SECTEUR 3,Autres Etablissements de Lutte contre les Maladies Mentales
14 R EUGENIE EBOUE,48.8457132,2.386425,"48.8457132,2.386425",Centre Médico-Psychologique (C.M.P.),,75012 PARIS,156,143469030,143465318,Etablissement public de santé,CMP ENFANTS EUGENIE EBOUE (PITIE-SALP),CENTRE MEDICO PSYCHOLOGIQUE PITIE SALPETRIERE 75/I/06,Autres Etablissements de Lutte contre les Maladies Mentales
