commune_name,postal_code,adresse,latitude,longitude,coordinates,accessibilite_de_l_installation_en_faveur_des_personnes_en_situation_de_handicap,accessibilite_de_l_installation_en_transport_en_commun_des_differents_mode,activites,departement_code,nom_de_l_equipement_sportif,nom_de_l_installation_sportive,types_d_amenagements_de_confort
Paris 12e Arrondissement,75012,ROUTE DE LA PYRAMIDE BOIS DE VINCENNES,48.82139,2.46047,"48.82139, 2.46047",False,"Train,Bus",Tennis,75,COURT DE TENNIS N°3,TENNIS CLUB PARISIEN DE JOINVILLE,
Paris 12e Arrondissement,75012,135 avenue daumesnil,48.843584,2.383447,"48.843584, 2.383447",False,"Métro,Bus",Activités de forme et de santé,75,Salle de biking,easyGym Paris Daumesnil,
Paris 13e Arrondissement,75013,99 BOULEVARD KELLERMANN,48.81868,2.34492,"48.81868, 2.34492",True,"Métro,Bus,Tramway,Train","Activités de forme et de santé,Autres Danses",75,SALLE BOISSET,STADE CHARLETY,Bain(s) bouillonnant(s);Sauna
Paris 17e Arrondissement,75017,24 RUE CHAZELLES,48.8807,2.30589,"48.8807, 2.30589",False,"Métro,Bus",Musculation,75,SALLE DE MUSCULATION ANNEXE,CMG SPORT CLUB ONE MONCEAU,Sauna
Paris 18e Arrondissement,75018,54 BOULEVARD NEY,48.89894,2.36357,"48.89894, 2.36357",True,"Métro,Bus,Tramway","Course sur piste,Lancer,Saut",75,STADE D'ATHLETISME,CENTRE SPORTIF DES FILLETTES,
Paris 19e Arrondissement,75019,19 Rue Curial,48.892515,2.371888,"48.892515, 2.371888",False,"Métro,Bus",Escalade dans les arbres,75,Mur d'escalade (Intérieur),LYCEE HECTOR GUIMARD,
Paris 12e Arrondissement,75012,15 RUE DE LA NOUVELLE CALEDONIE PARIS,48.8402,2.41192,"48.8402, 2.41192",True,"Métro,Bus",Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley,75,TERRAIN DE VOLLEY BALL,CENTRE SPORTIF ALAIN MIMOUN,
Paris 13e Arrondissement,75013,81 BOULEVARD MASSENA,48.81937,2.3706,"48.81937, 2.3706",True,"Métro,Bus,Tramway",Golf,75,PUTTING GREEN,CENTRE SPORTIF GEORGES CARPENTIER,
Paris 16e Arrondissement,75016,15 AVENUE DU GENERAL CLAVERY,48.8354648262,2.26103133556,"48.8354648262, 2.26103133556",False,"Métro,Bus",Tennis,75,COURT DE TENNIS N°7,TENNIS CLUB DU XVIEME,
Paris 17e Arrondissement,75017,118 BOULEVARD BESSIERES,48.8948,2.31366,"48.8948, 2.31366",True,"Métro,Tramway,Bus",Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley,75,TERRAIN DE VOLLEY BALL N°2,COLLEGE - LYCEE HONORE DE BALZAC,
Paris 12e Arrondissement,75012,68 BOULEVARD PONIATOWSKI,48.8317,2.40223,"48.8317, 2.40223",False,"Tramway,Métro,Bus",,75,TERRAIN DE BOULES,CENTRE SPORTIF LEO LAGRANGE,
Paris 15e Arrondissement,75015,399 RUE DE VAUGIRARD,48.832341,2.291113,"48.832341, 2.291113",False,"Métro,Bus,Tramway",Tennis,75,COURT DE TENNIS N°5,TENNIS CLUB CHEMINOT DE VAUGIRARD,
Paris 1er Arrondissement,75001,147 BIS RUE SAINT HONORE,48.86198,2.33966,"48.86198, 2.33966",True,,"Activités de forme et de santé,Musculation",75,ESPACE ABDOS-STRETCHING,CMG SPORTS CLUB ONE PALAIS-ROYAL,Sauna
Paris 4e Arrondissement,75004,41 RUE DU TEMPLE,48.85972,2.35353,"48.85972, 2.35353",False,"Métro,Bus,Train",Autres Danses,75,SALLE MAHLER,CENTRE DE DANSE DU MARAIS,
Paris 11e Arrondissement,75011,12 COUR DEBILLE,48.85595,2.37959,"48.85595, 2.37959",False,"Métro,Bus","Activités de forme et de santé,Expression gymnique",75,SALLE DE BOXING FITNESS,CENTRE SPORTIF ANDRE CHANCE,
Paris 12e Arrondissement,75012,26 BOULEVARD CARNOT,48.843093,2.412567,"48.843093, 2.412567",False,"Métro,Bus","Autres Danses,Basket-Ball,Tennis de table,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley",75,GYMNASE DE TYPE B,CENTRE SPORTIF CARNOT,
Paris 15e Arrondissement,75015,8 RUE FREMICOURT,48.84714,2.29701,"48.84714, 2.29701",False,"Métro,Bus",Musculation,75,SALLE DE CARDIOTRAINING ET MUSCULATION,CMG GRENELLE,Bain(s) de vapeur / hammam;Bain(s) de vapeur / hammam
Paris 15e Arrondissement,75015,66 boulevard du montparnasse,48.842999,2.322912,"48.842999, 2.322912",False,"Métro,Bus,Train","Baignade loisirs,Natation course sportive",75,BASSIN D'INITIATION,CENTRE MUNICIPAL ARMAND MASSARD,
Paris 16e Arrondissement,75016,56 BOULEVARD DE L'AMIRAL BRUIX,48.87363,2.27658,"48.87363, 2.27658",False,"Métro,Bus",Basket-Ball,75,TERRAIN DE BASKET-BALL,TEP JEAN PIERRE WIMILLE,
Paris 17e Arrondissement,75017,6 AVENUE BRUNETIERE,48.8912,2.30092,"48.8912, 2.30092",False,"Métro,Bus",Saut,75,ZONE DE SAUT EN HAUTEUR,STADE JUST FONTAINE (EX STADE DE LA PORTE D'ASNIERES),
Paris 11e Arrondissement,75011,172 BOULEVARD VOLTAIRE,48.855248,2.384099,"48.855248, 2.384099",True,"Métro,Bus",Activités de forme et de santé,75,SALLE DE BIKING,ON AIR VOLTAIRE,Sauna
Paris 16e Arrondissement,75016,106 RUE DE LA POMPE,48.8655,2.27945,"48.8655, 2.27945",False,,Lancer,75,ZONE DE LANCER DE POIDS,CITE SCOLAIRE JANSON DE SAILLY,
