objectid,nom,commune_code,commune_name,postal_code,department_code,x_coord,y_coord,adresse_ua,nature_u_1,patronyme,secteur_pu
217,Ecole primaire privée Hattemer,75108,PARIS,75008,75,650530.100000001,6864476.0045,52 rue de Londres,ECOLE DE NIVEAU ELEMENTAIRE,HATTEMER,Privé
218,Ecole maternelle privée Le Petit cours du Rocher,75108,PARIS,75008,75,650072.899999999,6864501.7045,53 rue du Rocher,ECOLE MATERNELLE,LE PETIT COURS DU ROCHER,Privé
219,Ecole primaire privée La Trinité,75109,PARIS,75009,75,650700.0,6864525.8045,16 rue de Milan,ECOLE DE NIVEAU ELEMENTAIRE,LA TRINITE,Privé
220,Ecole primaire privée Saint Laurent,75110,PARIS,75010,75,653277.200000003,6864714.1045,184 rue la Fayette,ECOLE DE NIVEAU ELEMENTAIRE,SAINT-LAURENT,Privé
221,Ecole primaire privée L'Immaculée-Conception,75112,PARIS,75012,75,656137.5,6860420.4045,18 rue Sibuet,ECOLE DE NIVEAU ELEMENTAIRE,L'IMMACULEE CONCEPTION,Privé
222,Ecole primaire privée Sainte Anne Sainte Marie,75113,PARIS,75013,75,652152.799999997,6858368.0045,109 rue Bobillot,ECOLE DE NIVEAU ELEMENTAIRE,ST-ANNE SAINTE-MARIE,Privé
223,Ecole primaire privée Saint Christophe,75115,PARIS,75015,75,648471.399999999,6860065.1045,82 rue de l'Abbé Groult,ECOLE DE NIVEAU ELEMENTAIRE,SAINT CHRISTOPHE,Privé
224,Ecole primaire privée Sainte Thérèse,75119,PARIS,75019,75,654643.299999997,6865447.8045,5 rue Léon Giraud,ECOLE DE NIVEAU ELEMENTAIRE,SAINTE-THERESE,Privé
225,Ecole élémentaire spécialisée privée Votre Ecole Chez Vous France Quéré,75111,PARIS,75011,75,654861.0,6862551.3045,29 rue Merlin,ECOLE DE NIVEAU ELEMENTAIRE SPECIALISEE,VOTRE ECOLE CHEZ VOUS FRANCE QUERE,Privé
226,Ecole primaire privée Sainte Louise,75120,PARIS,75020,75,655180.5,6863852.0045,73 rue de la Mare,ECOLE DE NIVEAU ELEMENTAIRE,SAINTE-LOUISE,Privé
227,Ecole maternelle CHARLES BAUDELAIRE,75112,PARIS,75012,75,654276.5,6861230.2045,16 rue Charles Baudelaire,ECOLE MATERNELLE,CHARLES BAUDELAIRE,Public
228,Ecole primaire privée Beth Myriam,75113,PARIS,75013,75,653919.5,6859055.8045,19 rue de Domrémy,ECOLE DE NIVEAU ELEMENTAIRE,BETH MYRIAM,Privé
