objectid,nom,commune_name,postal_code,department_code,x_coord,y_coord,adresse_ua,denominati,patronyme
684,Collège Colette Besson,PARIS,75020,75,654866.5,6863101.9045,9 rue DES PANOYAUX,COLLEGE,COLETTE BESSON
685,Collège Françoise Seligmann,PARIS,75010,75,653914.399999999,6864053.2045,21 rue SAMBRE ET MEUSE,COLLEGE,FRANCOISE SELIGMANN
944,Ecole secondaire privée Eurécole,PARIS,75008,75,649249.600000001,6863548.9045,34 AVENUE DES CHAMPS ELYSEES,ECOLE SECONDAIRE PRIVEE,EURECOLE
945,Ecole Secondaire Privée Torat Hessed,PARIS,75019,75,655471.5,6864827.3045,52 rue Miguel Hidalgo,ECOLE SECONDAIRE PRIVEE,TORAT HESSED
946,Ecole Secondaire Privée Merkaz Beth Myriam,PARIS,75013,75,653953.299999997,6859078.9045,17 rue de Domrémy,ECOLE SECONDAIRE PRIVEE,MERKAZ BETH MYRIAM
947,Collège ENIO,PARIS,75016,75,645976.299999997,6861101.2045,6 bis rue Michel Ange,ECOLE SECONDAIRE PRIVEE,COLLEGE ENIO
1007,Collège privé Blomet,PARIS,75015,75,649277.600000001,6860657.1045,5 rue Blomet,COLLEGE PRIVE,BLOMET
1050,Section d'enseignement général et professionnel adapté du collège La rose blanche,PARIS,75017,75,649406.700000003,6865699.4045,34 rue Marie-Georges Picquart,SEGPA,COLLEGE LA ROSE BLANCHE
1051,Collège Sudbury School Paris,PARIS,75013,75,654152.200000003,6858430.9045,2 rue du Dessous des Berges,ECOLE SECONDAIRE PRIVEE,SUDBURY SCHOOL PARIS
1052,Ecole Canadienne de Paris,PARIS,75008,75,650060.299999997,6863547.5045,5 rue d'Aguesseau,COLLEGE PRIVE,ECOLE CANADIENNE DE PARIS
1058,Ecole Dynamique (Collège),PARIS,75014,75,651140.0,6858663.4045,36 rue DES ARTISTES,ECOLE SECONDAIRE PRIVEE,ECOLE DYNAMIQUE
1088,Collège privé Fénelon-Sainte Marie,PARIS,75008,75,649862.399999999,6864566.8045,47 RUE DE NAPLES,COLLEGE PRIVE,FENELON SAINTE-MARIE
